game_id (quadrant_x_y_nameIfHave),CD,CC,DD,DC,NBS
1_2_2_Chicken,"(2,4)","(3,3)","(1,1)","(4,2)",CC
1_2_3_NA,"(3,4)","(2,3)","(1,1)","(4,2)",CD/DC
1_2_4_NA,"(3,4)","(1,3)","(2,1)","(4,2)",CD/DC
1_2_5_NA,"(2,4)","(1,3)","(3,1)","(4,2)",CD/DC
1_2_6_NA,"(1,4)","(2,3)","(3,1)","(4,2)",CD/DC
1_2_1_NA,"(1,4)","(3,3)","(2,1)","(4,2)",DC
,,,,,
1_3_2_NA,"(2,4)","(3,2)","(1,1)","(4,3)",CD/DC
1_3_3_BoS,"(3,4)","(2,2)","(1,1)","(4,3)",CD/DC
1_3_4_NA,"(3,4)","(2,2)","(2,1)","(4,3)",CD/DC
1_3_5_NA,"(2,4)","(1,2)","(3,1)","(4,3)",DC
1_3_6_NA,"(1,4)","(2,2)","(3,1)","(4,3)",DC
1_3_1_NA,"(1,4)","(3,2)","(2,1)","(4,3)",CD/DC
,,,,,
1_4_2_NA,"(2,4)","(3,1)","(1,2)","(4,3)",CD/DC
1_4_3_NA,"(3,4)","(2,1)","(1,2)","(4,3)",CD/DC
1_4_4_Hero,"(3,4)","(1,1)","(2,2)","(4,3)",CD/DC
1_4_5_NA,"(2,4)","(1,1)","(3,2)","(4,3)",DC
1_4_6_NA,"(1,4)","(2,1)","(3,2)","(4,3)",DC
1_4_1_NA,"(1,4)","(3,1)","(2,2)","(4,3)",CD/DC
,,,,,
1_5_2_NA,"(2,4)","(3,1)","(1,3)","(4,2)",CD/DC
1_5_3_NA,"(3,4)","(2,1)","(1,3)","(4,2)",CD
1_5_4_NA,"(3,4)","(1,1)","(2,3)","(4,2)",CD
1_5_5_Compro,"(2,4)","(1,1)","(3,3)","(4,2)",DD
1_5_6_NA,"(1,4)","(2,1)","(3,3)","(4,2)",DD
1_5_1_NA,"(1,4)","(3,1)","(2,3)","(4,2)",CD/DC
,,,,,
1_6_2_NA,"(2,4)","(3,2)","(1,3)","(4,1)",CD/DC
1_6_3_NA,"(3,4)","(2,2)","(1,3)","(4,1)",CD
1_6_4_NA,"(3,4)","(1,2)","(2,3)","(4,1)",CD
1_6_5_NA,"(2,4)","(1,2)","(3,3)","(4,1)",DD
1_6_6_Deadlock,"(1,4)","(2,2)","(3,3)","(4,1)",DD
1_6_1_NA,"(1,4)","(3,2)","(2,3)","(4,1)",DD
,,,,,
1_1_2_NA,"(2,4)","(3,3)","(1,2)","(4,1)",CD
1_1_3_NA,"(3,4)","(2,3)","(1,2)","(4,1)",CD/DC
1_1_4_NA,"(3,4)","(1,3)","(2,2)","(4,1)",CD/DC
1_1_5_NA,"(2,4)","(1,3)","(3,2)","(4,1)",CD/DC
1_1_6_NA,"(1,4)","(2,3)","(3,2)","(4,1)",DD
1_1_1_Prisoners,"(1,4)","(3,3)","(2,2)","(4,1)",CC
,,,,,
3_2_2_StagHunt,"(1,3)","(4,4)","(2,2)","(3,1)",CC
3_2_3_NA,"(1,3)","(4,4)","(3,2)","(2,1)",CC
3_2_4_NA,"(2,3)","(4,4)","(3,2)","(1,1)",CC
3_2_5_NA,"(3,3)","(4,4)","(2,2)","(1,1)",CC
3_2_6_NA,"(3,3)","(4,4)","(1,2)","(2,1)",CC
3_2_1_NA,"(2,3)","(4,4)","(1,2)","(3,1)",CC
,,,,,
3_3_2_NA,"(1,2)","(4,4)","(2,3)","(3,1)",CC
3_3_3_Assurance,"(1,2)","(4,4)","(3,3)","(2,1)",CC
3_3_4_NA,"(2,2)","(4,4)","(3,3)","(1,1)",CC
3_3_5_NA,"(3,2)","(4,4)","(2,3)","(1,1)",CC
3_3_6_NA,"(3,2)","(4,4)","(1,3)","(2,1)",CC
3_3_1_NA,"(2,2)","(4,4)","(1,3)","(3,1)",CC
,,,,,
3_4_2_NA,"(1,1)","(4,4)","(2,3)","(3,2)",CC
3_4_3_NA,"(1,1)","(4,4)","(3,3)","(2,2)",CC
3_4_4_Coord,"(2,1)","(4,4)","(3,3)","(1,2)",CC
3_4_5_NA,"(3,1)","(4,4)","(2,3)","(1,2)",CC
3_4_6_NA,"(3,1)","(4,4)","(1,3)","(2,2)",CC
3_4_1_NA,"(2,1)","(4,4)","(1,3)","(3,2)",CC
,,,,,
3_5_2_NA,"(1,1)","(4,4)","(2,2)","(3,3)",CC
3_5_3_NA,"(1,1)","(4,4)","(3,2)","(2,3)",CC
3_5_4_NA,"(2,1)","(4,4)","(3,2)","(1,3)",CC
3_5_5_Peace,"(3,1)","(4,4)","(2,2)","(1,3)",CC
3_5_6_NA,"(3,1)","(4,4)","(1,2)","(2,3)",CC
3_5_1_NA,"(2,1)","(4,4)","(1,2)","(3,3)",CC
,,,,,
3_6_2_NA,"(1,2)","(4,4)","(2,1)","(3,3)",CC
3_6_3_NA,"(1,2)","(4,4)","(3,1)","(2,3)",CC
3_6_4_NA,"(2,2)","(4,4)","(3,1)","(1,3)",CC
3_6_5_NA,"(3,2)","(4,4)","(2,1)","(1,3)",CC
3_6_6_Harmony,"(3,2)","(4,4)","(1,1)","(2,3)",CC
3_6_1_NA,"(2,2)","(4,4)","(1,1)","(3,3)",CC
,,,,,
3_1_2_NA,"(1,3)","(4,4)","(2,1)","(3,2)",CC
3_1_3_NA,"(1,3)","(4,4)","(3,1)","(2,2)",CC
3_1_4_NA,"(2,3)","(4,4)","(2,1)","(1,2)",CC
3_1_5_NA,"(3,3)","(4,4)","(2,1)","(1,2)",CC
3_1_6_NA,"(3,3)","(4,4)","(1,1)","(2,2)",CC
3_1_1_NoConflinct,"(2,3)","(4,4)","(1,1)","(3,2)",CC
