db,folder,file,description,timestamp,commit_sha,seed,epistemic_gain,b_candidates,opponent,phase_idx,game,start,end,duration,mean_joint_dist,start_joint_dist,final_joint_dist,joint_match_ratio,joint_convergence_t,mean_row_dist,start_row_dist,final_row_dist,row_match_ratio,row_convergence_t,mean_col_dist,corr_joint_vfe,corr_joint_efe,corr_joint_gamma,corr_row_vfe,corr_row_efe,corr_row_gamma,mean_vfe,mean_efe,mean_gamma
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-185304,cadb35fb,1,1.0,Full TFT Grim,Grim,0,1_2_2_Chicken,0,800,800,0.06942195726539724,0.27077716231346133,0.028264511823654175,0.89,97.0,0.03142639040015638,0.07077790141105651,0.028264511823654175,0.9325,86.0,0.0,-0.2511175782884123,0.31869146292395045,0.31869808664380417,-0.4086072710179317,0.4677659183797656,0.46777287490159364,1.2404276897464297,2.1791616815122916,3.8515250807586288
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-185304,cadb35fb,1,1.0,Full TFT Grim,Grim,1,1_1_1_Prisoners,800,1200,400,0.3159391376934946,0.12501574262976647,0.30215858310461047,0.5125,804.0,0.3159391376934946,0.12501574262976647,0.30215858310461047,0.5125,804.0,0.0,-0.7448360282887396,-0.6285591954547141,-0.6285591954547141,-0.7448360282887396,-0.6285591954547141,-0.6285591954547141,9.237625623808707,2.3940221991217623,3.9445985795349254
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-185304,cadb35fb,1,1.0,Full TFT Grim,Grim,2,1_2_2_Chicken,1200,2000,800,0.021220378652215002,0.009996746778488158,0.022868270874023437,1.0,1200.0,0.021220378652215002,0.009996746778488158,0.022868270874023437,1.0,1200.0,0.0,-0.825010621746548,0.9847510881121925,0.984766361749689,-0.825010621746548,0.9847510881121925,0.984766361749689,0.09380337175534806,2.3959630804864247,3.9457936013397683
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-185328,cadb35fb,1,1.0,Full TFT Grim,Grim,0,3_2_2_StagHunt,0,800,800,0.014908654391765594,0.20356886267662047,0.00234582781791687,0.975,20.0,0.002408701479434967,0.0035696160793304444,0.00234582781791687,1.0,0.0,0.0,0.5918136273459866,-0.5170239642928273,-0.5170261497312172,0.44398362440104644,-0.6648501049491177,-0.6648526290652114,0.13345365929417313,0.4502401174095082,3.1420554604315836
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-185328,cadb35fb,1,1.0,Full TFT Grim,Grim,1,1_1_1_Prisoners,800,1200,400,1.3895847170613116,1.3909375491031333,1.3899640030830525,0.0,,0.9648529778420926,0.9667898070812225,0.9653972899913787,0.0,,1.0,0.16288517843325306,-0.9981555629343676,-0.998327258913214,0.16288517843325306,-0.9981555629343676,-0.998327258913214,0.007283879460883327,1.4491359120818887,3.508604824108799
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-185328,cadb35fb,1,1.0,Full TFT Grim,Grim,2,3_2_2_StagHunt,1200,2000,800,0.002260994240641594,0.0027021801471710204,0.002231597900390625,1.0,1200.0,0.002260994240641594,0.0027021801471710204,0.002231597900390625,1.0,1200.0,0.0,-0.10720153650650624,0.6681209177075104,0.668086268878785,-0.10720153650650624,0.6681209177075104,0.668086268878785,0.007040077804995235,0.43420990100055207,3.1362016157016557
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-184556,cadb35fb,1,1.0,Full TFT Grim,TFT,0,1_2_2_Chicken,0,800,800,0.7001393359036736,0.6090666412699031,0.7062366198665058,0.00125,,0.0012882663309574127,0.0015930366516113282,0.0012314116954803467,1.0,0.0,0.0,-0.6004886649329737,0.5938275526367294,0.593831575500473,0.4608908743010752,-0.46346958307279523,-0.4634693743879116,0.6647039563595899,1.3942232699133836,3.486267991294863
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-184556,cadb35fb,1,1.0,Full TFT Grim,TFT,1,1_1_1_Prisoners,800,1200,400,1.3896212655412505,1.3911965082080218,1.3899967118556498,0.0,,0.9649050989747048,0.9671591258049012,0.965443903207779,0.0,,1.0,0.22136277263169102,-0.9985309433555726,-0.9985475060441049,0.22136277263169102,-0.9985309433555726,-0.9985475060441049,0.007247500946396031,1.4572705713598015,3.5117590725935566
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-184556,cadb35fb,1,1.0,Full TFT Grim,TFT,2,1_2_2_Chicken,1200,2000,800,0.7062714972628263,0.7059982150984723,0.7062896898046088,0.0,,0.0011820396035909654,0.0015700280666351319,0.0011562108993530273,1.0,1200.0,0.0,0.16857648440402492,-0.7691530849156292,-0.7689747284848679,-0.16857648440402492,0.7691530849156292,0.7689747284848679,0.007097277417196892,1.4233533384264563,3.4978705850843004
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-184618,cadb35fb,1,1.0,Full TFT Grim,TFT,0,3_2_2_StagHunt,0,800,800,0.014908654391765594,0.20356886267662047,0.00234582781791687,0.975,20.0,0.002408701479434967,0.0035696160793304444,0.00234582781791687,1.0,0.0,0.0,0.5918136273459866,-0.5170239642928273,-0.5170261497312172,0.44398362440104644,-0.6648501049491177,-0.6648526290652114,0.13345365929417313,0.4502401174095082,3.1420554604315836
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-184618,cadb35fb,1,1.0,Full TFT Grim,TFT,1,1_1_1_Prisoners,800,1200,400,1.3895847170613116,1.3909375491031333,1.3899640030830525,0.0,,0.9648529778420926,0.9667898070812225,0.9653972899913787,0.0,,1.0,0.16288517843325306,-0.9981555629343676,-0.998327258913214,0.16288517843325306,-0.9981555629343676,-0.998327258913214,0.007283879460883327,1.4491359120818887,3.508604824108799
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-184618,cadb35fb,1,1.0,Full TFT Grim,TFT,2,3_2_2_StagHunt,1200,2000,800,0.002260994240641594,0.0027021801471710204,0.002231597900390625,1.0,1200.0,0.002260994240641594,0.0027021801471710204,0.002231597900390625,1.0,1200.0,0.0,-0.10720153650650624,0.6681209177075104,0.668086268878785,-0.10720153650650624,0.6681209177075104,0.668086268878785,0.007040077804995235,0.43420990100055207,3.1362016157016557
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-172136,cadb35fb,1,1.0,Full,Grim,0,1_2_2_Chicken,0,800,800,0.3665404836918932,0.2641297033429146,0.36215919809583064,0.05,97.0,0.12434250195510685,0.06413044244050979,0.1485494777560234,0.37625,89.0,0.0,0.10022330092362822,-0.050668793565090034,-0.05066229155658217,-0.1617140630216978,0.16949510071334417,0.16948917706363126,2.3114755367604083,2.036413424105459,3.7799569855498345
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-172136,cadb35fb,1,1.0,Full,Grim,1,1_1_1_Prisoners,800,1200,400,0.010616607018164359,0.007381444652564823,0.0173155509121716,0.9975,800.0,0.010616607018164359,0.007381444652564823,0.0173155509121716,0.9975,800.0,0.0,-0.9354329165755583,0.9674234190587164,0.967420477114373,-0.9354329165755583,0.9674234190587164,0.967420477114373,6.828774014413357,2.0851111605827537,3.7915633839946774
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-172136,cadb35fb,1,1.0,Full,Grim,2,1_2_2_Chicken,1200,2000,800,0.03868877767508529,0.06831430061424604,0.0388353955745697,0.99375,1205.0,0.03731690730899572,0.04636437475681305,0.0388353955745697,0.995,1205.0,0.0,-0.964423970595426,0.9996371393064596,0.9996428647858489,-0.9643982091893178,0.9996369283365155,0.9996426538106161,3.7950708545232192,2.396813133404243,3.945767782572479
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-172158,cadb35fb,1,1.0,Full,Grim,0,3_2_2_StagHunt,0,800,800,0.07855485163629056,0.26412896156311033,0.07184406995773315,0.94625,40.0,0.06605489872395992,0.06412971496582032,0.07184406995773315,0.97125,40.0,0.0,-0.10173041184477444,0.9997384183662172,0.9997433567084548,-0.2480147091514646,0.8534575529713915,0.8534617858901167,0.22089395497110673,0.4860580530821645,3.1538967526232806
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-172158,cadb35fb,1,1.0,Full,Grim,1,1_1_1_Prisoners,800,1200,400,0.17317689921161872,1.0126237345170965,0.05602006420493126,0.865,852.0,0.053177248742431404,0.09125581726431847,0.05602006420493126,0.965,812.0,0.13,-0.6902374088386845,0.6515801029184612,0.6515801029184612,-0.6396002774829979,0.8086920297326257,0.8086920297326257,16.608849833742717,0.46567735645974856,3.1470832819467405
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-172158,cadb35fb,1,1.0,Full,Grim,2,3_2_2_StagHunt,1200,2000,800,0.29371570543337844,0.3553907866209808,0.3356358677148819,0.0,,0.1749875989370048,0.14866305649280548,0.1643641322851181,0.125,1372.0,0.0,0.12291246055729282,-0.13380509454989817,-0.1338127573507997,-0.37322946259661255,0.35003638570205625,0.3500652007042457,0.9560755817685276,1.8480761056372343,3.683030591943641
scripts\BMA-Study\EG1\full_vs_TFT_EG1.db,EG1,full_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260228-154145,b20a5067,1,1.0,Full,TFT,0,1_2_2_Chicken,0,800,800,0.5069127680848439,0.5364589399904254,0.5010165897299924,0.00125,,0.03188519706018269,0.07923882126808167,0.009194808006286621,0.87375,0.0,0.0,-0.1297069543513532,0.1197059575381891,0.11969693976085638,-0.07746330989167088,0.019599844195101888,0.019596087342838204,12.419016057513653,1.1468224240751559,3.3889579874170352
scripts\BMA-Study\EG1\full_vs_TFT_EG1.db,EG1,full_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260228-154145,b20a5067,1,1.0,Full,TFT,1,1_1_1_Prisoners,800,1200,400,0.16593484406578082,0.06950841628015042,0.31674041272958425,0.28,805.0,0.1645527140516788,0.06950841628015042,0.30568337261676787,0.28,805.0,0.0025,-0.939471011644391,0.9828547551184673,0.9828520369446249,-0.939471011644391,0.9828547551184673,0.9828520369446249,2.077939035594463,1.2318762744315557,3.424051109976316
