db,folder,file,description,timestamp,commit_sha,seed,epistemic_gain,b_candidates,opponent,n_steps,mean_joint_dist,start_joint_dist,final_joint_dist,joint_match_ratio,mean_row_dist,start_row_dist,final_row_dist,row_match_ratio,corr_joint_vfe,corr_joint_efe,corr_joint_gamma,corr_row_vfe,corr_row_efe,corr_row_gamma,mean_vfe,mean_efe,mean_gamma
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-185304,cadb35fb,1,1.0,Full TFT Grim,Grim,2000,0.0994447619057438,0.27077716231346133,0.022868270874023437,0.8585,0.08424653515964746,0.07077790141105651,0.022868270874023437,0.8755,0.1026543540312564,0.3407275916040646,0.3407286760666734,0.05666303891030274,0.4162494804582509,0.4162506716337703,2.381217549362453,2.308854344623839,3.9078471887463437
scripts\BMA-Study\EG1\all_vs_Grim_EG1.db,EG1,all_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-185328,cadb35fb,1,1.0,Full TFT Grim,Grim,2000,0.2847848028652251,0.20356886267662047,0.002231597900390625,0.79,0.19483847385644912,0.0035696160793304444,0.002231597900390625,0.8,0.0728720463490267,0.4934703342012215,0.4934680111870463,0.025709839637950357,0.4545084074526422,0.45450605264542776,0.05765427073184401,0.6436071897804019,3.2130237952750558
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-184556,cadb35fb,1,1.0,Full TFT Grim,TFT,2000,0.8404885863748502,0.6090666412699031,0.7062896898046088,0.0005,0.1939691421687603,0.0015930366516113282,0.0011562108993530273,0.8,-0.17396782428993904,0.46156862886104383,0.46158098795086827,-0.008797390734430715,0.5138166781816677,0.5138067724654173,0.27016999369999395,1.4184847576078965,3.4960072450703765
scripts\BMA-Study\EG1\all_vs_TFT_EG1.db,EG1,all_vs_TFT_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-184618,cadb35fb,1,1.0,Full TFT Grim,TFT,2000,0.2847848028652251,0.20356886267662047,0.002231597900390625,0.79,0.19483847385644912,0.0035696160793304444,0.002231597900390625,0.8,0.0728720463490267,0.4934703342012215,0.4934680111870463,0.025709839637950357,0.4545084074526422,0.45450605264542776,0.05765427073184401,0.6436071897804019,3.2130237952750558
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-172136,cadb35fb,1,1.0,Full,Grim,2000,0.16421502595042425,0.2641297033429146,0.0388353955745697,0.617,0.0667870851092739,0.06413044244050979,0.0388353955745697,0.748,-0.48046879180128305,-0.015622673135224825,-0.015623574679592325,-0.572119924982597,0.1303929360732921,0.13039145770001942,3.808373359396122,2.190312855120432,3.8486025840478604
scripts\BMA-Study\EG1\full_vs_Grim_EG1.db,EG1,full_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-172158,cadb35fb,1,1.0,Full,Grim,2000,0.18354360267019137,0.26412896156311033,0.3356358677148819,0.5515,0.10705244881287217,0.06412971496582032,0.1643641322851181,0.6315,0.006494770229821725,0.7377945675181568,0.7377965368927433,-0.23616031028902212,0.773142918819192,0.7731460888431393,3.7925577814443967,1.0267891347797091,3.364187594216117
scripts\BMA-Study\EG1\full_vs_TFT_EG1.db,EG1,full_vs_TFT_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260228-154145,b20a5067,1,1.0,Full,TFT,2000,0.4482299105011099,0.5364589399904254,0.4994875591231228,0.0565,0.06333527830056847,0.07923882126808167,0.0025513195991516114,0.7295,0.3437244828918836,0.16260098989964777,0.16260223691655226,-0.33131406755493015,0.4091254179623058,0.40912546440359615,12.324277333006263,1.1758957520551139,3.400549458970216
scripts\BMA-Study\EG1\full_vs_TFT_EG1.db,EG1,full_vs_TFT_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260228-154211,b20a5067,1,1.0,Full,TFT,2000,0.17721088782281916,0.26412896156311033,0.2294380035996437,0.571,0.09091498640924692,0.06412971496582032,0.2294380035996437,0.7315,-0.06353998680765734,0.8789907565315421,0.8789958552107385,-0.0536178777829662,0.3495965569681304,0.34959493002442876,3.9227580120279453,1.0743857195381865,3.3826714404061358
scripts\BMA-Study\EG1\Grim_vs_Grim_EG1.db,EG1,Grim_vs_Grim_EG1.db,1_2_2_Chicken-1_1_1_Prisoners-1_2_2_Chicken,20260308-172530,cadb35fb,1,1.0,Full Grim,Grim,2000,0.04826323223694086,0.2674687902629376,0.024068002700805665,0.951,0.032738321046344936,0.06746952936053276,0.024068002700805665,0.9685,-0.07547329302894865,0.1627722944146402,0.16277032455879237,-0.09752013979177299,0.2204696284047284,0.2204677356616938,3.6671303430723494,2.356070322591083,3.931374972844828
scripts\BMA-Study\EG1\Grim_vs_Grim_EG1.db,EG1,Grim_vs_Grim_EG1.db,3_2_2_StagHunt-1_1_1_Prisoners-3_2_2_StagHunt,20260308-172552,cadb35fb,1,1.0,Full Grim,Grim,2000,0.28493265550665836,0.20669398069381714,0.0022483468055725098,0.79,0.19496040961146355,0.0066947340965271,0.0022483468055725098,0.8,0.31639994191442455,0.20167741810226789,0.2016795682806772,0.27019824456813907,0.16312366332324615,0.16312580072106259,0.058329505556379446,0.645920060981469,3.213853149018941
